Transaction Number,Transaction Date,Transaction Type,Transaction Description,Debit Amount,Credit Amount,Balance,Category,Location City,Location Country
1620,29/04/2021,FPO,TRADING212UK,1000.0,,2921.43,Investment,Nottingham,UK
1621,29/04/2021,FPO,TRADING212UK,293.0,,3921.43,Investment,Nottingham,UK
1622,29/04/2021,BGC,UNIV OF NOTTINGHAM,,3756.59,4214.43,Paycheck,Nottingham,UK
1623,28/04/2021,FPO,TRADING212UK,100.0,,457.84,Investment,Nottingham,UK
1624,28/04/2021,FPO,MR IAN ELLIS,110.0,,557.84,Services,Nottingham,UK
1625,28/04/2021,BP,SAVE THE CHANGE,0.35,,667.84,Savings,Nottingham,UK
1626,27/04/2021,DEB,SHARIF AND SONS SU,19.65,,668.19,Groceries,Derby,UK
1627,27/04/2021,DD,TALKTALK LIMITED,21.95,,687.84,Bills,Nottingham,UK
1628,26/04/2021,FPO,TRADING212UK,200.0,,709.79,Investment,Nottingham,UK
1629,26/04/2021,BP,SAVE THE CHANGE,3.67,,909.79,Savings,Nottingham,UK
1630,26/04/2021,DEB,EAST MIDS RAILWAY,19.4,,913.46,Travel,Nottingham,UK
1631,26/04/2021,DEB,LIDL GB  NOTTINGHA,9.3,,932.86,Groceries,Nottingham,UK
1632,26/04/2021,DEB,AMZNMktplace,14.99,,942.16,Amazon,Nottingham,UK
1633,26/04/2021,DEB,Amazon.co.uk*M40A6,10.81,,957.15,Amazon,Nottingham,UK
1634,26/04/2021,DEB,Audible UK,7.99,,967.96,Entertainment,Nottingham,UK
1635,26/04/2021,DEB,AMZNMktplace,3.22,,975.95,Amazon,Nottingham,UK
1636,26/04/2021,DEB,AMZNMKTPLACE AMAZO,4.48,,979.17,Amazon,Nottingham,UK
1637,26/04/2021,FPI,ABAYOMI ADAMS,,400.0,983.65,Supplementary Income,Nottingham,UK
1638,23/04/2021,DEB,AMZNMktplace,100.8,,583.65,Amazon,Nottingham,UK
1639,23/04/2021,DEB,SAINSBURYS S/MKT,38.79,,684.45,Groceries,Nottingham,
1640,23/04/2021,DEB,AMAZON.CO.UK*M44AQ,26.55,,723.24,Amazon,Nottingham,UK
1641,23/04/2021,BGC,GOOGLE IRELAND,,61.27,749.79,Supplementary Income,Nottingham,UK
1642,22/04/2021,FPO,TRADING212UK,200.0,,688.52,Investment,Nottingham,UK
1643,22/04/2021,FPI,MARK NEAL WINSTEIN,,395.51,888.52,Supplementary Income,Nottingham,UK
1644,22/04/2021,BP,SAVE THE CHANGE,0.73,,493.01,Savings,Nottingham,UK
1645,21/04/2021,DEB,LIDL GB  NOTTINGHA,15.27,,493.74,Groceries,Nottingham,UK
1646,20/04/2021,FPO,ALICJA ALEXANDER,25.0,,509.01,Services/Home Improvement,Nottingham,UK
1647,20/04/2021,BP,SAVE THE CHANGE,0.51,,534.01,Savings,Nottingham,UK
1648,19/04/2021,DEB,AMZNMktplace,6.99,,534.52,Amazon,Nottingham,UK
1649,19/04/2021,DEB,PP*DOUGHNOTTS,6.5,,541.51,Dine Out,Nottingham,UK
1650,19/04/2021,DD,VIRGIN MEDIA PYMTS,25.5,,548.01,Bills,Nottingham,UK
