Transaction Number,Transaction Date,Transaction Type,Transaction Description,Debit Amount,Credit Amount,Balance,Category,Location City,Location Country
3368,2019-01-07 00:00:00,,INTEREST (GROSS),,5.54,4246.55,Interest,Swansea,UK
3369,2019-01-07 00:00:00,DEB,ZINCO LOUNGE,13.05,,4241.01,Dine Out,Swansea,UK
3370,2019-01-07 00:00:00,DEB,ZARA SWANSEA,15.99,,4254.06,Clothes,Swansea,UK
3371,2019-01-07 00:00:00,DEB,COFFEE#1 SWANSEA,10.75,,4270.05,Dine Out,Swansea,UK
3372,2019-01-07 00:00:00,DEB,TESCO STORE 3241,8.19,,4280.8,Groceries,,
3373,2019-01-07 00:00:00,DEB,MARKS&SPENCER PLC,1.0,,4288.99,Clothes,,
3374,2019-01-07 00:00:00,DEB,TFW RAIL SERVICES,77.5,,4289.99,Travel,,
3375,2019-01-07 00:00:00,DEB,BIRMINGHAM INT HOT,58.0,,4367.49,Hotels,Birmingham,UK
3376,2019-01-07 00:00:00,DEB,WASABI BIRMINGHAM,22.75,,4425.49,Dine Out,Birmingham,UK
3377,2019-01-07 00:00:00,DD,PRINCIPALITY BS,1163.58,,4448.24,Mortgage,Swansea,UK
3378,2019-01-07 00:00:00,DD,CC SWANSEA C.TAX,147.0,,5611.82,Bills,Swansea,UK
3379,2019-01-07 00:00:00,DD,GOOD ENERGY LTD,50.0,,5758.82,Bills,Swansea,UK
3380,2019-01-07 00:00:00,DD,DWR CYMRU W WATER,32.5,,5808.82,Bills,Swansea,UK
3381,2019-01-07 00:00:00,SO,ESAVINGS ACCOUNT,300.0,,5841.32,Savings,Swansea,UK
3382,2019-01-07 00:00:00,BP,SAVE THE CHANGE,0.6,,6141.32,Savings,Swansea,UK
3383,2019-01-07 00:00:00,CPT,LNK ESTATE AGENTS,50.0,,6141.92,Cash,Leeds,UK
3384,2019-01-07 00:00:00,CPT,LNK SWANSEA 1,100.0,,6191.92,Cash,Swansea,UK
3385,28/06/2019,DEB,WWW.III.CO.UK DE,1020.0,,6291.92,Investment,Nottingham,UK
3386,28/06/2019,DEB,ZINCO LOUNGE,14.4,,7311.92,Dine Out,Swansea,UK
3387,28/06/2019,DD,UCU B ACCOUNT,24.26,,7326.32,Others,Swansea,UK
3388,28/06/2019,BP,SAVE THE CHANGE,0.2,,7350.58,Savings,Swansea,UK
3389,28/06/2019,BGC,SWANSEA UNI - PAY,,3265.85,7350.78,Paycheck,Swansea,UK
3390,28/06/2019,BGC,GOOGLE IRELAND,,0.45,4084.93,Supplementary Income,Swansea,UK
3391,27/06/2019,DEB,WWW.III.CO.UK DE,2200.0,,4084.48,Investment,Nottingham,UK
3392,27/06/2019,DEB,TFW RAIL SERVICES,11.8,,6284.48,Travel,,
3393,27/06/2019,BP,SAVE THE CHANGE,2.31,,6296.28,Savings,Swansea,UK
3394,26/06/2019,DEB,Brontosaurus Vegan,25.34,,6298.59,Dine Out,Swansea,UK
3395,26/06/2019,DEB,MARKS&SPENCER PLC,14.2,,6323.93,Clothes,,
3396,26/06/2019,DEB,AMZNMKTPLACE AMAZO,6.15,,6338.13,Amazon,Swansea,UK
3397,26/06/2019,TFR,R LAWRENCE,,2000.0,6344.28,Supplementary Income,Swansea,UK
3398,25/06/2019,DEB,THE BIKE HUB,90.0,,4344.28,Other Shopping,,
3399,25/06/2019,CPT,LNK TESCO FABIAN W,40.0,,4434.28,Cash,Swansea,UK
3400,25/06/2019,BP,SAVE THE CHANGE,1.09,,4474.28,Savings,Swansea,UK
3401,24/06/2019,DEB,Amazon.co.uk*M62FO,56.03,,4475.37,Amazon,Swansea,UK
3402,24/06/2019,DEB,AMZNMktplace,24.94,,4531.4,Amazon,Swansea,UK
3403,24/06/2019,DEB,AMZNMktplace,19.95,,4556.34,Amazon,Swansea,UK
3404,24/06/2019,DEB,Audible.co.uk,7.99,,4576.29,Entertainment,Swansea,UK
3405,24/06/2019,DD,CORGI HOMEPLAN,14.75,,4584.28,Home Improvement,swansea,UK
3406,24/06/2019,BP,SAVE THE CHANGE,0.4,,4599.03,Savings,Swansea,UK
3407,24/06/2019,CPT,LNK 1 UNION STREET,60.0,,4599.43,Cash,Leicester,UK
3408,21/06/2019,DEB,SAINSBURY'S S/MKT,6.6,,4659.43,Groceries,,
3409,21/06/2019,CPT,LNK TESCO FABIAN W,60.0,,4666.03,Cash,Swansea,UK
3410,21/06/2019,DD,VIRGIN MEDIA PYMTS,29.0,,4726.03,Bills,Swansea,UK
3411,20/06/2019,DEB,WWW.III.CO.UK DE,4000.0,,4755.03,Investment,Nottingham,UK
3412,20/06/2019,CPT,LNK DIAMOND PROPER,80.0,,8755.03,Cash,Leeds,UK
3413,20/06/2019,BP,SAVE THE CHANGE,0.33,,8835.03,Savings,Swansea,UK
3414,19/06/2019,DEB,CANDLES & CO,21.99,,8835.36,Other Shopping,,
3415,19/06/2019,DEB,Audible.co.uk,18.0,,8857.35,Entertainment,Swansea,UK
3416,19/06/2019,DEB,POST OFFICE COUNTE,16.68,,8875.35,Others,Swansea,UK
3417,19/06/2019,TFR,R LAWRENCE,,4000.0,8892.03,Supplementary Income,Swansea,UK
3418,19/06/2019,BP,SAVE THE CHANGE,0.61,,4892.03,Savings,Swansea,UK
3419,18/06/2019,DEB,AMZNMKTPLACE AMAZO,18.52,,4892.64,Amazon,Swansea,UK
3420,18/06/2019,DEB,Amazon.co.uk*M64R1,6.87,,4911.16,Amazon,Swansea,UK
3421,18/06/2019,BP,SAVE THE CHANGE,0.33,,4918.03,Savings,Swansea,UK
3422,17/06/2019,DEB,Amazon.co.uk*M60D5,3.87,,4918.36,Amazon,Swansea,UK
3423,17/06/2019,DEB,LUL TICKET MACHINE,4.9,,4922.23,Travel,London,UK
3424,17/06/2019,DEB,TFW RAIL SERVICES,87.9,,4927.13,Travel,,
3425,17/06/2019,DD,O2,22.58,,5015.03,Other Shopping,Swansea,UK
3426,17/06/2019,CPT,LOYD LOYD 802 OXFO,50.0,,5037.61,Cash,Swansea,UK
3427,14/06/2019,CPT,LNK TESCO FABIAN W,120.0,,5087.61,Cash,Swansea,UK
3428,13/06/2019,DEB,WWW.III.CO.UK DE,2600.0,,5207.61,Investment,Nottingham,UK
3429,2019-12-06 00:00:00,TFR,R LAWRENCE,,2800.0,7807.61,Supplementary Income,Swansea,UK
3430,2019-12-06 00:00:00,BP,SAVE THE CHANGE,0.6,,5007.61,Savings,Swansea,UK
3431,2019-11-06 00:00:00,DEB,WWW.III.CO.UK DE,2000.0,,5008.21,Investment,Swansea,UK
3432,2019-11-06 00:00:00,DEB,NON-GBP PURCH FEE,0.5,,7008.21,Others,Swansea,UK
3433,2019-11-06 00:00:00,DEB,NON-GBP TRANS FEE,0.25,,7008.71,Others,Swansea,UK
3434,2019-11-06 00:00:00,DEB,TRAINAWAY APS,8.4,,7008.96,Travel,,
3435,2019-10-06 00:00:00,TFR,R LAWRENCE,,2000.0,7017.36,Supplementary Income,Swansea,UK
3436,2019-10-06 00:00:00,DEB,3830824-ONBB1,126.0,,5017.36,Others,Swansea,UK
3437,2019-10-06 00:00:00,CPT,LNK FABIAN WAY,50.0,,5143.36,Cash,Swansea,UK
3438,2019-10-06 00:00:00,BP,SAVE THE CHANGE,0.61,,5193.36,Savings,Swansea,UK
3439,2019-10-06 00:00:00,DEB,NON-GBP PURCH FEE,0.5,,5193.97,Others,Swansea,UK
3440,2019-10-06 00:00:00,DEB,NON-GBP TRANS FEE,0.25,,5194.47,Others,Swansea,UK
3441,2019-10-06 00:00:00,DEB,TRAINAWAY APS,8.39,,5194.72,Travel,,
3442,2019-07-06 00:00:00,DEB,FOREIGN CASH FEE,1.5,,5203.11,Travel,,
3443,2019-07-06 00:00:00,DEB,Shopping Domus Tri,197.37,,5204.61,Home Improvement,swansea,UK
3444,2019-07-06 00:00:00,DD,THE GYM LTD,14.99,,5401.98,Fitness,Swansea,UK
3445,2019-07-06 00:00:00,BP,SAVE THE CHANGE,1.24,,5416.97,Savings,Swansea,UK
3446,2019-06-06 00:00:00,DEB,NON-GBP PURCH FEE,0.5,,5418.21,Others,Swansea,UK
3447,2019-06-06 00:00:00,DEB,NON-GBP TRANS FEE,0.25,,5418.71,Others,Swansea,UK
3448,2019-06-06 00:00:00,DEB,TRAINAWAY APS,8.37,,5418.96,Travel,,
3449,2019-06-06 00:00:00,DEB,NON-GBP PURCH FEE,0.5,,5427.33,Others,Swansea,UK
3450,2019-06-06 00:00:00,DEB,NON-GBP TRANS FEE,0.25,,5427.83,Others,Swansea,UK
3451,2019-06-06 00:00:00,DEB,TRAINAWAY APS,8.39,,5428.08,Travel,,
3452,2019-06-06 00:00:00,BP,SAVE THE CHANGE,0.62,,5436.47,Savings,Swansea,UK
3453,2019-05-06 00:00:00,DEB,NON-GBP PURCH FEE,0.5,,5437.09,Others,Swansea,UK
3454,2019-05-06 00:00:00,DEB,NON-GBP TRANS FEE,0.25,,5437.59,Others,Swansea,UK
3455,2019-05-06 00:00:00,DEB,TRAINAWAY APS,8.38,,5437.84,Travel,,
3456,2019-05-06 00:00:00,BP,SAVE THE CHANGE,0.2,,5446.22,Savings,Swansea,UK
3457,2019-04-06 00:00:00,DEP,CLUB LLOYDS WAIVED,,3.0,5446.42,Supplementary Income,Swansea,UK
3458,2019-04-06 00:00:00,PAY,CLUB LLOYDS FEE,3.0,,5443.42,Bills,Swansea,UK
3459,2019-04-06 00:00:00,DEB,MEIA DUZIA,12.8,,5446.42,Other Shopping,,
3460,2019-04-06 00:00:00,BP,SAVE THE CHANGE,2.34,,5459.22,Savings,Swansea,UK
3461,2019-03-06 00:00:00,,INTEREST (GROSS),,6.48,5461.56,Interest,Swansea,UK
3462,2019-03-06 00:00:00,DEB,NON-GBP PURCH FEE,0.5,,5455.08,Others,Swansea,UK
3463,2019-03-06 00:00:00,DEB,NON-GBP TRANS FEE,0.26,,5455.58,Others,Swansea,UK
3464,2019-03-06 00:00:00,DEB,RESTAURANTE DA TER,8.79,,5455.84,Dine Out,London,UK
3465,2019-03-06 00:00:00,DEB,NON-GBP PURCH FEE,0.5,,5464.63,Others,Swansea,UK
3466,2019-03-06 00:00:00,DEB,NON-GBP TRANS FEE,0.25,,5465.13,Others,Swansea,UK
3467,2019-03-06 00:00:00,DEB,TRAINAWAY APS,8.37,,5465.38,Travel,,
3468,2019-03-06 00:00:00,DEB,TFW RAIL SERVICES,50.4,,5473.75,Travel,,
3469,2019-03-06 00:00:00,DEB,MINIPRECO LOIOS 2,20.65,,5524.15,Groceries,Porto,Portugal
3470,2019-03-06 00:00:00,DEB,M&S SIMPLY FOOD-SS,7.65,,5544.8,Groceries,Swansea,UK
3471,2019-03-06 00:00:00,DEB,WWW.III.CO.UK DE,1000.0,,5552.45,Investment,Swansea,UK
3472,2019-03-06 00:00:00,DEB,SAINSBURY'S S/MKT,19.8,,6552.45,Groceries,,
3473,2019-03-06 00:00:00,DD,PRINCIPALITY BS,957.26,,6572.25,Mortgage,Swansea,UK
3474,2019-03-06 00:00:00,DD,CC SWANSEA C.TAX,147.0,,7529.51,Bills,Swansea,UK
3475,2019-03-06 00:00:00,DD,GOOD ENERGY LTD,50.0,,7676.51,Bills,Swansea,UK
3476,2019-03-06 00:00:00,DD,DWR CYMRU W WATER,32.5,,7726.51,Bills,Swansea,UK
3477,2019-03-06 00:00:00,DD,ZURICH,20.69,,7759.01,Insurance,Swansea,UK
3478,2019-03-06 00:00:00,SO,ESAVINGS ACCOUNT,300.0,,7779.7,Savings,Swansea,UK
3479,31/05/2019,TFR,R LAWRENCE,,1000.0,8079.7,Supplementary Income,Swansea,UK
3480,31/05/2019,DEB,WWW.III.CO.UK DE,200.0,,7079.7,Investment,Nottingham,UK
3481,31/05/2019,DD,UCU B ACCOUNT,24.26,,7279.7,Others,Swansea,UK
3482,31/05/2019,BGC,SWANSEA UNI - PAY,,3265.85,7303.96,Paycheck,Swansea,UK
3483,30/05/2019,CPT,LNK TESCO FABIAN W,60.0,,4038.11,Cash,Swansea,UK
3484,30/05/2019,BP,SAVE THE CHANGE,0.23,,4098.11,Savings,Swansea,UK
3485,29/05/2019,DEB,AMZNMktplace,1.77,,4098.34,Amazon,Swansea,UK
3486,29/05/2019,CPT,LNK TESCO FABIAN W,40.0,,4100.11,Cash,Swansea,UK
3487,29/05/2019,BP,SAVE THE CHANGE,2.27,,4140.11,Savings,Swansea,UK
3488,28/05/2019,DEB,AMZNMktplace,12.49,,4142.38,Amazon,Swansea,UK
3489,28/05/2019,DEB,SWANSEA FOOD CENTR,7.46,,4154.87,Dine Out,Swansea,UK
3490,28/05/2019,DEB,AMZNMKTPLACE AMAZO,3.33,,4162.33,Amazon,Swansea,UK
3491,28/05/2019,DEB,AMZN MKTP UK*MN36N,5.99,,4165.66,Amazon,Swansea,UK
3492,28/05/2019,DEB,WWW.III.CO.UK DE,5000.0,,4171.65,Investment,Nottingham,UK
3493,28/05/2019,DEB,POST OFFICE COUNTE,27.62,,9171.65,Others,Swansea,UK
3494,28/05/2019,DEB,Brontosaurus Vegan,16.95,,9199.27,Dine Out,Swansea,UK
3495,28/05/2019,DEB,MARKS&SPENCER PLC,8.9,,9216.22,Clothes,,
3496,28/05/2019,DEB,AMAZON.CO.UK*MN9V3,12.99,,9225.12,Amazon,Swansea,UK
3497,28/05/2019,BP,SAVE THE CHANGE,0.01,,9238.11,Savings,Swansea,UK
3498,28/05/2019,CPT,LNK M&S SWANSEA,50.0,,9238.12,Cash,Swansea,UK
3499,28/05/2019,TFR,R LAWRENCE  25MAY19,,5000.0,9288.12,Supplementary Income,Swansea,UK
3500,24/05/2019,CPT,LNK TESCO FABIAN W,50.0,,4288.12,Cash,Swansea,UK
3501,24/05/2019,DEB,TESCO STORES 4628,5.0,,4338.12,Groceries,,
3502,24/05/2019,DEB,Audible.co.uk,7.99,,4343.12,Entertainment,Swansea,UK
3503,24/05/2019,BP,SAVE THE CHANGE,1.48,,4351.11,Savings,Swansea,UK
3504,23/05/2019,DEB,NON-GBP PURCH FEE,0.5,,4352.59,Others,Swansea,UK
3505,23/05/2019,DEB,NON-GBP TRANS FEE,15.82,,4353.09,Others,Swansea,UK
3506,23/05/2019,DEB,2160701-KEGHB,529.11,,4368.91,Others,Swansea,UK
3507,23/05/2019,DEB,AMZN MKTP UK*MN1H1,18.41,,4898.02,Amazon,Swansea,UK
3508,22/05/2019,CPT,LNK TESCO FABIAN W,50.0,,4916.43,Cash,Swansea,UK
3509,22/05/2019,DD,CORGI HOMEPLAN,14.75,,4966.43,Home Improvement,swansea,UK
3510,21/05/2019,DD,VIRGIN MEDIA PYMTS,29.0,,4981.18,Bills,Swansea,UK
3511,21/05/2019,BP,SAVE THE CHANGE,2.5,,5010.18,Savings,Swansea,UK
3512,20/05/2019,DEB,Amazon.co.uk*MN9ZF,16.33,,5012.68,Amazon,Swansea,UK
3513,20/05/2019,DEB,AMAZON.CO.UK*MN6LS,9.79,,5029.01,Amazon,Swansea,UK
3514,20/05/2019,DEB,Brontosaurus Vegan,29.18,,5038.8,Dine Out,Swansea,UK
3515,20/05/2019,DEB,MARKS&SPENCER PLC,4.7,,5067.98,Clothes,,
3516,20/05/2019,DEB,SWANSEA UNI - CATE,13.5,,5072.68,Dine Out,Swansea,UK
3517,20/05/2019,CPT,LNK TESCO FABIAN W,60.0,,5086.18,Cash,Swansea,UK
3518,20/05/2019,CPT,LNK SWANSEA CITY C,50.0,,5146.18,Cash,Swansea,UK
3519,17/05/2019,CPT,LNK TESCO FABIAN W,60.0,,5196.18,Cash,Swansea,UK
3520,16/05/2019,DD,O2,27.14,,5256.18,Other Shopping,Swansea,UK
3521,16/05/2019,BP,SAVE THE CHANGE,0.49,,5283.32,Savings,Swansea,UK
3522,15/05/2019,DEB,NON-GBP PURCH FEE,0.5,,5283.81,Others,Swansea,UK
3523,15/05/2019,DEB,NON-GBP TRANS FEE,0.31,,5284.31,Others,Swansea,UK
3524,15/05/2019,DEB,HMSHOST AMSTERDAM,10.51,,5284.62,Dine Out,Amsterdam,Netherlands
3525,15/05/2019,BP,SAVE THE CHANGE,1.27,,5295.13,Savings,Swansea,UK
3526,14/05/2019,DEB,SAINSBURY'S S/MKT,9.9,,5296.4,Groceries,,
3527,14/05/2019,DEB,AMZNMKTPLACE AMAZO,2.32,,5306.3,Amazon,Swansea,UK
3528,14/05/2019,DEB,DOUBLETREE BY HILT,105.0,,5308.62,Hotels,,
3529,14/05/2019,CPT,LNK FABIAN WAY,50.0,,5413.62,Cash,Swansea,UK
3530,14/05/2019,DEB,NON-GBP PURCH FEE,0.5,,5463.62,Others,Swansea,UK
3531,14/05/2019,DEB,NON-GBP TRANS FEE,0.28,,5464.12,Others,Swansea,UK
3532,14/05/2019,DEB,BAR BIGO,9.51,,5464.4,Dine Out,Paris,France
3533,14/05/2019,BP,SAVE THE CHANGE,0.37,,5473.91,Savings,Swansea,UK
3534,13/05/2019,DEB,NH GENOVA CENTRO,740.63,,5474.28,Hotels,Genova,Italy
3535,13/05/2019,DEB,NON-GBP CASH FEE,1.5,,6214.91,Others,Swansea,UK
3536,13/05/2019,DEB,NON-GBP TRANS FEE,2.58,,6216.41,Others,Swansea,UK
3537,13/05/2019,DEB,ABN-AMRO,86.45,,6218.99,Travel,,
3538,13/05/2019,BP,SAVE THE CHANGE,0.39,,6305.44,Savings,Swansea,UK
3539,2019-10-05 00:00:00,DEB,NON-GBP PURCH FEE,0.5,,6305.83,Others,Swansea,UK
3540,2019-10-05 00:00:00,DEB,NON-GBP TRANS FEE,0.61,,6306.33,Others,Swansea,UK
3541,2019-10-05 00:00:00,DEB,JAPAN RESTAURANT,20.61,,6306.94,Dine Out,,
3542,2019-10-05 00:00:00,BP,SAVE THE CHANGE,0.69,,6327.55,Savings,Swansea,UK
3543,2019-09-05 00:00:00,DEB,NON-GBP PURCH FEE,0.5,,6328.24,Others,Swansea,UK
3544,2019-09-05 00:00:00,DEB,NON-GBP TRANS FEE,0.76,,6328.74,Others,Swansea,UK
3545,2019-09-05 00:00:00,DEB,CELIO 6309,25.74,,6329.5,Clothes,,
3546,2019-09-05 00:00:00,DEB,NON-GBP PURCH FEE,0.5,,6355.24,Others,Swansea,UK
3547,2019-09-05 00:00:00,DEB,NON-GBP TRANS FEE,0.25,,6355.74,Others,Swansea,UK
3548,2019-09-05 00:00:00,DEB,H & M  5,8.57,,6355.99,Clothes,,
3549,2019-08-05 00:00:00,BP,SAVE THE CHANGE,2.51,,6364.56,Savings,Swansea,UK
3550,2019-07-05 00:00:00,DEB,Amazon.co.uk*MN59F,6.29,,6367.07,Amazon,Swansea,UK
3551,2019-07-05 00:00:00,DEB,NON-GBP PURCH FEE,0.5,,6373.36,Others,Swansea,UK
3552,2019-07-05 00:00:00,DEB,NON-GBP TRANS FEE,0.84,,6373.86,Others,Swansea,UK
3553,2019-07-05 00:00:00,DEB,H & M  5,28.32,,6374.7,Clothes,,
3554,2019-07-05 00:00:00,DEB,NON-GBP CASH FEE,1.5,,6403.02,Others,Swansea,UK
3555,2019-07-05 00:00:00,DEB,NON-GBP TRANS FEE,5.13,,6404.52,Others,Swansea,UK
3556,2019-07-05 00:00:00,DEB,BANCA CARIGE CR GE,171.76,,6409.65,Travel,,
3557,2019-07-05 00:00:00,DEB,TFW RAIL SERVICES,50.4,,6581.41,Travel,,
3558,2019-07-05 00:00:00,DEB,AMZNMKTPLACE AMAZO,5.48,,6631.81,Amazon,Swansea,UK
3559,2019-07-05 00:00:00,DD,THE GYM LTD,14.99,,6637.29,Fitness,Swansea,UK
3560,2019-03-05 00:00:00,DD,ASSURANT INTER LTD,21.15,,6652.28,Insurance,Swansea,UK
3561,2019-03-05 00:00:00,BP,SAVE THE CHANGE,0.25,,6673.43,Savings,Swansea,UK
3562,2019-02-05 00:00:00,DEP,CLUB LLOYDS WAIVED,,3.0,6673.68,Supplementary Income,Swansea,UK
3563,2019-02-05 00:00:00,PAY,CLUB LLOYDS FEE,3.0,,6670.68,Bills,Swansea,UK
3564,2019-02-05 00:00:00,DEB,Lush UK,16.95,,6673.68,Other Shopping,,
3565,2019-02-05 00:00:00,DEB,SAINSBURYS S/MKTS,16.8,,6690.63,Groceries,,
3566,2019-02-05 00:00:00,CPT,LNK TESCO FABIAN W,60.0,,6707.43,Cash,Swansea,UK
3567,2019-02-05 00:00:00,BP,SAVE THE CHANGE,0.05,,6767.43,Savings,Swansea,UK
3568,2019-01-05 00:00:00,,INTEREST (GROSS),,6.12,6767.48,Interest,Swansea,UK
3569,2019-01-05 00:00:00,DEB,SAINSBURYS S/MKTS,15.0,,6761.36,Groceries,,
3570,2019-01-05 00:00:00,DEB,TESCO STORES 4628,3.95,,6776.36,Groceries,,
3571,2019-01-05 00:00:00,CPT,LNK SAINSBURYS BAN,50.0,,6780.31,Cash,,
3572,2019-01-05 00:00:00,DD,PRINCIPALITY BS,957.26,,6830.31,Mortgage,Swansea,UK
3573,2019-01-05 00:00:00,DD,CC SWANSEA C.TAX,147.0,,7787.57,Bills,Swansea,UK
3574,2019-01-05 00:00:00,DD,GOOD ENERGY LTD,97.0,,7934.57,Bills,Swansea,UK
3575,2019-01-05 00:00:00,DD,DWR CYMRU W WATER,32.5,,8031.57,Bills,Swansea,UK
3576,2019-01-05 00:00:00,DD,ZURICH,20.69,,8064.07,Insurance,Swansea,UK
3577,2019-01-05 00:00:00,SO,ESAVINGS ACCOUNT,300.0,,8084.76,Savings,Swansea,UK
3578,30/04/2019,DD,UCU B ACCOUNT,24.26,,8384.76,Others,Swansea,UK
3579,30/04/2019,BP,SAVE THE CHANGE,1.18,,8409.02,Savings,Swansea,UK
3580,30/04/2019,BGC,SWANSEA UNI - PAY,,3265.85,8410.2,Paycheck,Swansea,UK
3581,29/04/2019,DEB,WWW.III.CO.UK DE,3000.0,,5144.35,Investment,Nottingham,UK
3582,29/04/2019,DEB,HATHWAY HOUSE ACCO,55.0,,8144.35,Hotels,Bristol,
3583,29/04/2019,DEB,PAYPAL *DISC HEALT,39.95,,8199.35,Services,Swansea,UK
3584,29/04/2019,DEB,Brontosaurus Vegan,18.57,,8239.3,Dine Out,Swansea,UK
3585,29/04/2019,DEB,POST OFFICE COUNTE,17.8,,8257.87,Others,Swansea,UK
3586,29/04/2019,DEB,THE BODY SHOP INTL,15.0,,8275.67,Other Shopping,,
3587,29/04/2019,DEB,MARKS&SPENCER PLC,8.5,,8290.67,Clothes,,
3588,29/04/2019,BP,SAVE THE CHANGE,0.66,,8299.17,Savings,Swansea,UK
3589,29/04/2019,TFR,R LAWRENCE  28APR19,,1000.0,8299.83,Supplementary Income,Swansea,UK
3590,26/04/2019,DEB,AMZNMktplace,2.34,,7299.83,Amazon,Swansea,UK
3591,26/04/2019,CPT,LNK TESCO FABIAN W,60.0,,7302.17,Cash,Swansea,UK
3592,25/04/2019,CPT,LNK TESCO FABIAN W,100.0,,7362.17,Cash,Swansea,UK
3593,25/04/2019,BP,SAVE THE CHANGE,0.01,,7462.17,Savings,Swansea,UK
3594,24/04/2019,DEB,Audible.co.uk,7.99,,7462.18,Entertainment,Swansea,UK
3595,24/04/2019,BP,SAVE THE CHANGE,1.06,,7470.17,Savings,Swansea,UK
3596,23/04/2019,DEB,WM MORRISONS STORE,44.91,,7471.23,Groceries,,
3597,23/04/2019,DEB,Brontosaurus Vegan,23.62,,7516.14,Dine Out,Swansea,UK
3598,23/04/2019,DEB,AMAZON.CO.UK*MZ3T6,11.81,,7539.76,Amazon,Swansea,UK
3599,23/04/2019,DEB,MARKS&SPENCER PLC,8.8,,7551.57,Clothes,,
3600,23/04/2019,DEB,COFFEE#1 SWANSEA,3.8,,7560.37,Dine Out,Swansea,UK
3601,23/04/2019,CPT,LNK TESCO FABIAN W,60.0,,7564.17,Cash,Swansea,UK
3602,23/04/2019,DD,VIRGIN MEDIA PYMTS,29.0,,7624.17,Bills,Swansea,UK
3603,23/04/2019,DD,CORGI HOMEPLAN,14.75,,7653.17,Home Improvement,swansea,UK
3604,18/04/2019,CPT,LNK TESCO FABIAN W,50.0,,7667.92,Cash,Swansea,UK
3605,18/04/2019,BP,SAVE THE CHANGE,0.47,,7717.92,Savings,Swansea,UK
3606,17/04/2019,DEB,AMZNMktplace,7.93,,7718.39,Amazon,Swansea,UK
3607,17/04/2019,DEB,AMZNMKTPLACE AMAZO,3.6,,7726.32,Amazon,Swansea,UK
3608,16/04/2019,CPT,LNK FABIAN WAY,150.0,,7729.92,Cash,Swansea,UK
3609,16/04/2019,DD,O2,18.94,,7879.92,Other Shopping,Swansea,UK
3610,16/04/2019,BP,SAVE THE CHANGE,1.62,,7898.86,Savings,Swansea,UK
3611,15/04/2019,DEB,SAINSBURY'S S/MKT,20.06,,7900.48,Groceries,,
3612,15/04/2019,DEB,Brontosaurus Vegan,14.72,,7920.54,Dine Out,Swansea,UK
3613,15/04/2019,DEB,MARKS&SPENCER PLC,6.7,,7935.26,Clothes,,
3614,15/04/2019,DEB,KLM UK  074341,304.9,,7941.96,Travel,,
3615,15/04/2019,CPT,LNK TESCO FABIAN W,250.0,,8246.86,Cash,Swansea,UK
3616,15/04/2019,CPT,LOYD LOYD 802 OXFO,40.0,,8496.86,Cash,Swansea,UK
3617,2019-12-04 00:00:00,BP,SAVE THE CHANGE,0.12,,8536.86,Savings,Swansea,UK
3618,2019-11-04 00:00:00,DEB,AMZNMktplace,14.88,,8536.98,Amazon,Swansea,UK
3619,2019-11-04 00:00:00,BP,SAVE THE CHANGE,0.36,,8551.86,Savings,Swansea,UK
3620,2019-10-04 00:00:00,DEB,EASYJET   000EWX,85.64,,8552.22,Travel,,
3621,2019-10-04 00:00:00,DEB,EXPEDIA 7425718119,3.0,,8637.86,Travel,,
3622,2019-10-04 00:00:00,CPT,LNK TESCO FABIAN W,40.0,,8640.86,Cash,Swansea,UK
3623,2019-09-04 00:00:00,CPT,LNK TESCO FABIAN W,40.0,,8680.86,Cash,Swansea,UK
3624,2019-09-04 00:00:00,BP,SAVE THE CHANGE,2.13,,8720.86,Savings,Swansea,UK
3625,2019-08-04 00:00:00,DEB,THE GYM LTD,29.99,,8722.99,Fitness,Swansea,UK
3626,2019-08-04 00:00:00,DEB,AMZNMktplace,15.66,,8752.98,Amazon,Swansea,UK
3627,2019-08-04 00:00:00,DEB,Brontosaurus Vegan,19.02,,8768.64,Dine Out,Swansea,UK
3628,2019-08-04 00:00:00,DEB,MARKS&SPENCER PLC,7.2,,8787.66,Clothes,,
3629,2019-08-04 00:00:00,DD,LV LIFE,37.12,,8794.86,Insurance,Swansea,UK
3630,2019-08-04 00:00:00,BP,SAVE THE CHANGE,0.01,,8831.98,Savings,Swansea,UK
3631,2019-05-04 00:00:00,CPT,LNK M&S SWANSEA,50.0,,8831.99,Cash,Swansea,UK
3632,2019-05-04 00:00:00,DEB,THE GYM LTD,7.99,,8881.99,Fitness,Swansea,UK
3633,2019-05-04 00:00:00,BP,SAVE THE CHANGE,0.19,,8889.98,Savings,Swansea,UK
3634,2019-04-04 00:00:00,DEB,WWW.III.CO.UK DE,5000.0,,8890.17,Investment,Swansea,UK
3635,2019-04-04 00:00:00,DEB,AMZNMktplace,5.81,,13890.17,Amazon,Swansea,UK
3636,2019-04-04 00:00:00,BP,SAVE THE CHANGE,1.23,,13895.98,Savings,Swansea,UK
3637,2019-03-04 00:00:00,DEB,AMZNMktplace,24.28,,13897.21,Amazon,Swansea,UK
3638,2019-03-04 00:00:00,DEB,Amazon.co.uk*MZ275,10.49,,13921.49,Amazon,Swansea,UK
3639,2019-03-04 00:00:00,CPT,LNK TESCO FABIAN W,40.0,,13931.98,Cash,Swansea,UK
3640,2019-03-04 00:00:00,DD,ASSURANT INTER LTD,21.15,,13971.98,Insurance,Swansea,UK
